username,bio,followers_count,following_count,profile_picture,account_creation_date,post_id,post_timestamp,caption,likes_count,comments_count,post_type,hashtags,mentions,engagement_rate
user27,Bio of user27,2800,550,profile27.jpg,2017-03-30,post27,2023-07-27 12:00:00,Caption of post27,210,30,carousel,#music #songwriter,@friend27,0.0857
user28,Bio of user28,2100,400,profile28.jpg,2018-04-30,post28,2023-07-28 13:00:00,Caption of post28,160,20,photo,#art #craft,@friend28,0.0857
user29,Bio of user29,2300,450,profile29.jpg,2019-05-30,post29,2023-07-29 14:00:00,Caption of post29,180,22,video,#food #cooking,@friend29,0.087
user30,Bio of user30,1600,300,profile30.jpg,2017-06-30,post30,2023-07-30 15:00:00,Caption of post30,110,12,carousel,#fitness #run,@friend30,0.0763
user31,Bio of user31,2700,500,profile31.jpg,2018-07-30,post31,2023-07-31 16:00:00,Caption of post31,200,25,photo,#travel #holiday,@friend31,0.0833
user32,Bio of user32,1400,250,profile32.jpg,2019-08-30,post32,2023-08-01 17:00:00,Caption of post32,90,8,video,#fashion #show,@friend32,0.07
user33,Bio of user33,2500,400,profile33.jpg,2017-09-30,post33,2023-08-02 18:00:00,Caption of post33,170,20,carousel,#nature #beauty,@friend33,0.076
user34,Bio of user34,1900,300,profile34.jpg,2018-10-30,post34,2023-08-03 19:00:00,Caption of post34,130,16,photo,#music #guitar,@friend34,0.0768
user35,Bio of user35,2700,500,profile35.jpg,2019-11-30,post35,2023-08-04 20:00:00,Caption of post35,200,25,video,#art #design,@friend35,0.0833
user36,Bio of user36,1500,250,profile36.jpg,2017-12-30,post36,2023-08-05 21:00:00,Caption of post36,100,12,carousel,#food #baking,@friend36,0.0746
user37,Bio of user37,2400,450,profile37.jpg,2018-01-05,post37,2023-08-06 22:00:00,Caption of post37,180,22,photo,#fitness #yoga,@friend37,0.0841
user38,Bio of user38,2200,400,profile38.jpg,2019-02-05,post38,2023-08-07 23:00:00,Caption of post38,160,18,video,#travel #journey,@friend38,0.0818
user39,Bio of user39,1700,300,profile39.jpg,2017-03-05,post39,2023-08-08 11:00:00,Caption of post39,120,14,carousel,#fashion #vintage,@friend39,0.0788
user40,Bio of user40,2600,500,profile40.jpg,2018-04-05,post40,2023-08-09 12:00:00,Caption of post40,190,24,photo,#nature #forest,@friend40,0.0823
user41,Bio of user41,2000,350,profile41.jpg,2019-05-05,post41,2023-08-10 13:00:00,Caption of post41,150,16,video,#music #producer,@friend41,0.083
user42,Bio of user42,2800,550,profile42.jpg,2017-06-05,post42,2023-08-11 14:00:00,Caption of post42,210,30,carousel,#art #photography,@friend42,0.0857
user43,Bio of user43,2100,400,profile43.jpg,2018-07-05,post43,2023-08-12 15:00:00,Caption of post43,160,20,photo,#food #healthyliving,@friend43,0.0857
user44,Bio of user44,2300,450,profile44.jpg,2019-08-05,post44,2023-08-13 16:00:00,Caption of post44,180,22,video,#fitness #strength,@friend44,0.087
user45,Bio of user45,1600,300,profile45.jpg,2017-09-05,post45,2023-08-14 17:00:00,Caption of post45,110,12,carousel,#travel #mountains,@friend45,0.0763
user46,Bio of user46,2700,500,profile46.jpg,2018-10-05,post46,2023-08-15 18:00:00,Caption of post46,200,25,photo,#fashion #model,@friend46,0.0833
user47,Bio of user47,1400,250,profile47.jpg,2019-11-05,post47,2023-08-16 19:00:00,Caption of post47,90,8,video,#nature #waterfall,@friend47,0.07
user48,Bio of user48,2500,400,profile48.jpg,2017-12-05,post48,2023-08-17 20:00:00,Caption of post48,170,20,carousel,#music #album,@friend48,0.076
user49,Bio of user49,1900,300,profile49.jpg,2018-01-10,post49,2023-08-18 21:00:00,Caption of post49,130,16,photo,#art #sculpture,@friend49,0.0768
user50,Bio of user50,2700,500,profile50.jpg,2019-02-10,post50,2023-08-19 22:00:00,Caption of post50,200,25,video,#food #chef,@friend50,0.0833
